,X,X,X,X,X,X,X,X,Y,Y,Y,Y,Y,Y,Y,Y,Z,Z,Z,Z,Z,Z,Z,Z,Std_Combined
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,
VertexIndex,,,,,,,,,,,,,,,,,,,,,,,,,
0,400.0,0.0910562700591981,0.0074678504834982075,0.0715299919247627,0.08544100448489185,0.0907049998641014,0.09569249860942358,0.1134469956159591,400.0,0.2886644132435322,0.018250048221692117,0.2499589920043945,0.27548521757125854,0.2887735068798065,0.3009305000305176,0.3258150219917297,400.0,-0.04158735751174386,0.005587681298593838,-0.0550310015678405,-0.04559074807912105,-0.042315000668168054,-0.037564250640571076,-0.0273550003767013,0.02049524904051247
1,400.0,0.08771535752341147,0.0062097230524495416,0.0703049972653389,0.08337125182151794,0.087410494685173,0.0910304989665746,0.1071919947862625,400.0,0.28161875665187835,0.016644532692862733,0.2454589605331421,0.2696657627820968,0.2824634909629822,0.29287573695182795,0.3171560168266296,400.0,-0.003105952527839666,0.0041756484674835585,-0.0124500002712011,-0.0061727501451969,-0.00353900063782925,-9.874999523162843e-05,0.0069449990987777,0.018249305988883448
2,400.0,0.05657949721440667,0.0068240971155031725,0.0400019958615303,0.0514060072600841,0.0558514967560768,0.061697242781519876,0.0757209956645965,400.0,0.2953589421510696,0.01995686121309378,0.2534989714622497,0.27994573116302485,0.296114981174469,0.3097732365131378,0.3346530199050903,400.0,-0.10147272238507864,0.008952696322720116,-0.1266179978847503,-0.10833049938082688,-0.10197050124406809,-0.09619574807584283,-0.0791810005903244,0.022912777709552197
3,400.0,0.024734727349132256,0.005592055173759378,0.0130219981074333,0.020298000425100327,0.02415049821138375,0.029258497059345225,0.0389710068702697,400.0,0.29732043787837026,0.02012830268814036,0.2545639872550964,0.28162324428558344,0.29780697822570795,0.31207248568534846,0.337457001209259,400.0,-0.11675496013835068,0.010406388804780876,-0.1465360075235366,-0.12462024949491021,-0.117162000387907,-0.11041449755430216,-0.0907490029931068,0.02333907834787047
4,400.0,0.0717409770749509,0.0048544070204050984,0.0578920021653175,0.06858924031257628,0.07162149623036385,0.07457599602639672,0.0867839977145195,400.0,0.27571984082460405,0.015273863541516669,0.2418679594993591,0.2650257796049118,0.2764214873313904,0.28591099381446833,0.3097379803657532,400.0,0.03300784239079799,0.00424459910202858,0.0204889997839927,0.0300212493166327,0.0332855004817247,0.035952001810073825,0.0427870005369186,0.016579288179580338
5,400.0,0.04452448224648828,0.0034156172085534806,0.0352960005402565,0.0420710071921348,0.044504504650831195,0.04667825065553185,0.0551889985799789,400.0,0.27134438723325727,0.014533768368872177,0.2385729551315307,0.2608079761266708,0.27198800444602966,0.281556487083435,0.3052510023117065,400.0,0.05901026000268754,0.005657907167003121,0.0425399988889694,0.05536799691617485,0.0589560028165578,0.06311524659395212,0.0735949948430061,0.015965862877584204
6,400.0,0.011025494802743148,0.002342816189623132,0.0055089965462684,0.009161500260233824,0.01079549640417095,0.012554250657558375,0.0179629996418952,400.0,0.272064455896616,0.014863361872068236,0.2384060025215149,0.26110599935054774,0.27272850275039673,0.28261998295783997,0.3078619837760925,400.0,0.06956823998130852,0.006849445578326336,0.0499629974365234,0.06470975466072554,0.0692720003426075,0.0745370034128427,0.0878120064735412,0.016532489787351036
7,400.0,-0.012389182541519354,0.004685845276965696,-0.0230129957199096,-0.016004499047994572,-0.01323350146412845,-0.00869924947619435,-0.0001899972558021,400.0,0.30461930923163894,0.02043564101909946,0.26031494140625,0.28877227008342743,0.3050599992275238,0.3194057494401931,0.3467170000076294,400.0,-0.12153198245912787,0.011019386092974285,-0.1537259966135025,-0.1297120004892349,-0.12185800075531,-0.11460999771952625,-0.0945710018277168,0.02368542673643853
